"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-15","8.05",",,W"," 0811",",,X","0.42",",,0,2400","0.0",",,0","0.0",",,0",,,"51",",,0","44",",,0","25.9",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-16","4.25",",,W"," 0534",",,X","0.02",",,0,2400","0.0",",,0","0.0",",,0",,,"45",",,0","37",",,0","10.1",",,X","    1",",,X","    1",",,X",,,,,"    1",",,0",,,,,"    1",",,0",,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-17","7.61",",,W"," 2217",",,X","0.15",",,0,2400","0.0",",,0","0.0",",,0",,,"52",",,0","42",",,0","17.0",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-18","14.76",",,W"," 0131",",,X","0.00","T,,0,2400","0.0",",,0","0.0",",,0",,,"59",",,0","49",",,0","32.0",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-19","11.63",",,W"," 1136",",,X","0.01",",,0,2400","0.0",",,0","0.0",",,0",,,"60",",,0","48",",,0","21.9",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-20","10.07",",,W"," 1933",",,X","0.00","T,,0,2400","0.0",",,0","0.0",",,0",,,"57",",,0","42",",,0","28.0",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-21","9.40",",,W"," 2028",",,X","0.00","T,,0,2400","0.0",",,0","0.0",",,0",,,"56",",,0","45",",,0","17.0",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-22","6.26",",,W"," 0823",",,X","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"48",",,0","40",",,0","15.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-23","7.38",",,W"," 2321",",,X","0.09",",,0,2400","0.0",",,0","0.0",",,0",,,"49",",,0","40",",,0","13.0",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X","    1",",,X","    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-24","9.84",",,W"," 1820",",,X","0.36",",,0,2400","0.0",",,0","0.0",",,0",,,"46",",,0","37",",,0","19.9",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-25","6.71",",,W"," 0925",",,X","0.06",",,0,2400","0.0",",,0","0.0",",,0",,,"54",",,0","41",",,0","16.1",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-26","2.68",",,W"," 0107",",,X","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"48",",,0","38",",,0","8.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-27","2.91",",,W"," 2357",",,X","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"49",",,0","35",",,0","10.1",",,X","    1",",,X","    1",",,X",,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-28","7.83",",,W"," 2036",",,X","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"55",",,0","41",",,0","17.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-29","4.92",",,W"," 0947",",,X","0.02",",,0,2400","0.0",",,0","0.0",",,0",,,"56",",,0","44",",,0","16.1",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-30","4.03",",,W"," 0052",",,X","0.18",",,0,2400","0.0",",,0","0.0",",,0",,,"48",",,0","43",",,0","12.1",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X","    1",",,X","    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-01-31","4.92",",,W"," 1211",",,X","0.08",",,0,2400","0.0",",,0","0.0",",,0",,,"49",",,0","45",",,0","10.1",",,X","    1",",,X",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-01","2.91",",,W"," 2351",",,X","0.08",",,0,2400","0.0",",,0","0.0",",,0",,,"49",",,0","40",",,0","8.9",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-02","5.59",",,W"," 0227",",,X","0.01",",,0,2400","0.0",",,0","0.0",",,0",,,"54",",,0","40",",,0","12.1",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-03","4.70",",,W"," 1950",",,X","0.31",",,0,2400","0.0",",,0","0.0",",,0",,,"50",",,0","41",",,0","10.1",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-04","10.51",",,W"," 1842",",,X","0.08",",,0,2400","0.0",",,0","0.0",",,0",,,"57",",,0","41",",,0","21.9",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-05","8.28",",,W"," 2021",",,X","0.07",",,0,2400","0.0",",,0","0.0",",,0",,,"58",",,0","45",",,0","16.1",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-06","5.14",",,W"," 0042",",,X","0.13",",,0,2400","0.0",",,0","0.0",",,0",,,"56",",,0","43",",,0","14.1",",,X","    1",",,W",,,,,,,"    1",",,0",,,"    1",",,W",,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-07","4.47",",,W"," 1358",",,X","0.15",",,0,2400","0.0",",,0","0.0",",,0",,,"49",",,0","44",",,0","8.1",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-08","3.80",",,W"," 2156",",,X","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"49",",,0","41",",,0","8.9",",,X","    1",",,W",,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-09","3.58",",,W"," 0008",",,X","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"46",",,0","36",",,0","8.1",",,X","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-10","4.25",",,W"," 2137",",,X","0.11",",,0,2400","0.0",",,0","0.0",",,0",,,"44",",,0","31",",,0","10.1",",,X","    1",",,W","    1",",,W",,,,,"    1",",,0",,,,,,,,,"    1",",,X","    1",",,X","    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-11","8.50",",,W"," 2254",",,X","0.24",",,0,2400","0.0",",,0","0.0",",,0",,,"54",",,0","43",",,0","21.9",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-12","11.86",",,W"," 1505",",,X","0.38",",,0,2400","0.0",",,0","0.0",",,0",,,"54",",,0","43",",,0","25.9",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-13","8.05",",,W"," 2016",",,X","0.20",",,0,2400","0.0",",,0","0.0",",,0",,,"52",",,0","45",",,0","16.1",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-14","6.71",",,W"," 0313",",,X","0.42",",,0,2400","0.0",",,0","0.0",",,0",,,"53",",,0","42",",,0","17.0",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-15","4.47",",,W"," 2306",",,X","0.07",",,0,2400","0.0",",,0","0.0",",,0",,,"55",",,0","37",",,0","14.1",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-16","10.29",",,W"," 1748",",,X","0.21",",,0,2400","0.0",",,0","0.0",",,0",,,"54",",,0","43",",,0","21.0",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-17","15.21",",,W"," 1542",",,X","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"51",",,0","39",",,0","23.9",",,X","    1",",,W",,,,,,,,,,,"    1",",,W",,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-18","14.99",",,W"," 1538",",,X","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"59",",,0","39",",,0","21.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-19","9.62",",,W"," 0433",",,X","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"59",",,0","39",",,0","16.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-20","6.93",",,W"," 2359",",,X","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"57",",,0","35",",,0","13.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-21","6.49",",,W"," 0124",",,X","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"57",",,0","36",",,0","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-22","4.92",",,W"," 2052",",,X","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"54",",,0","33",",,0","13.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-23","3.80",",,W"," 1013",",,X","0.16",",,0,2400","0.0",",,0","0.0",",,0",,,"48",",,0","37",",,0","13.0",",,X","    1",",,W",,,,,,,"    1",",,0",,,"    1",",,W",,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-24","9.40",",,W"," 1431",",,X","0.33",",,0,2400","0.0",",,0","0.0",",,0",,,"51",",,0","42",",,0","19.9",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-25","7.83",",,W"," 0302",",,X","0.05",",,0,2400","0.0",",,0","0.0",",,0",,,"54",",,0","44",",,0","16.1",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-26","9.40",",,W"," 0715",",,X","0.44",",,0,2400","0.0",",,0","0.0",",,0",,,"52",",,0","46",",,0","21.0",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-27","6.93",",,W"," 1740",",,X","0.08",",,0,2400","0.0",",,0","0.0",",,0",,,"54",",,0","46",",,0","14.1",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-02-28","2.91",",,W"," 1342",",,X","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"56",",,0","43",",,0","8.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-03-01","2.24",",,W"," 1044",",,X","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"57",",,0","42",",,0","13.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-03-02","6.71",",,W"," 1506",",,X","0.09",",,0,2400","0.0",",,0","0.0",",,0",,,"56",",,0","46",",,0","17.0",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-03-03","3.13",",,W"," 0606",",,X","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"55",",,0","41",",,0","12.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-03-04","4.92",",,W"," 1512",",,X","0.05",",,0,2400","0.0",",,0","0.0",",,0",,,"53",",,0","42",",,0","12.1",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-03-05","7.61",",,W"," 2344",",,X","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"57",",,0","37",",,0","14.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-03-06","5.59",",,W"," 0036",",,X","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"59",",,0","37",",,0","15.0",",,X","    1",",,W",,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-03-07","8.05",",,W"," 1142",",,X","0.06",",,0,2400","0.0",",,0","0.0",",,0",,,"52",",,0","37",",,0","21.0",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-03-08","4.47",",,W"," 0027",",,X","0.08",",,0,2400","0.0","T,,0","0.0",",,0",,,"41",",,0","32",",,0","15.0",",,X","    1",",,W",,,,,,,"    1",",,0",,,"    1",",,W",,,,,"    1",",,X",,,"    1",",,0",,,"    1",",,X",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-03-09","6.71",",,W"," 0859",",,X","0.00","T,,0,2400","0.0",",,0","0.0",",,0",,,"48",",,0","28",",,0","14.1",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-03-10","10.51",",,W"," 2346",",,X","0.07",",,0,2400","0.0",",,0","0.0",",,0",,,"50",",,0","37",",,0","17.9",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-03-11","9.62",",,W"," 0146",",,X","0.38",",,0,2400","0.0",",,0","0.0",",,0",,,"46",",,0","40",",,0","25.1",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-03-12","9.62",",,W"," 0823",",,X","0.67",",,0,2400","0.0",",,0","0.0",",,0",,,"49",",,0","39",",,0","29.1",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-03-13","10.51",",,W"," 1420",",,X","0.02",",,0,2400","0.0",",,0","0.0",",,0",,,"49",",,0","38",",,0","23.9",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2010-03-14","3.36",",,W"," 2057",",,X","0.00","T,,0,2400","0.0",",,0","0.0",",,0",,,"53",",,0","35",",,0","12.1",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
