"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Rosh Hashana 5778","9/21/2017",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","9/22/2017",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","9/29/2017",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","9/30/2017",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","10/4/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","10/5/2017",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","10/6/2017",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","10/7/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","10/8/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","10/9/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","10/10/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","10/11/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","10/12/2017",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","10/13/2017",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Chanukah: 1 Candle","12/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","12/13/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","12/14/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","12/15/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","12/16/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","12/17/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 7 Candles","12/18/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8 Candles","12/19/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","12/20/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Erev Purim","2/28/2018",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","3/1/2018",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Erev Pesach","3/30/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","3/31/2018",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","4/1/2018",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","4/2/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","4/3/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","4/4/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","4/5/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","4/6/2018",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","4/7/2018",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","5/19/2018",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","5/20/2018",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","5/21/2018",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Erev Tish'a B'Av","7/21/2018",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","7/22/2018",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Erev Rosh Hashana","9/9/2018",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5779","9/10/2018",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","9/11/2018",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","9/18/2018",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","9/19/2018",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","9/23/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","9/24/2018",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","9/25/2018",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","9/26/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","9/27/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","9/28/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","9/29/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","9/30/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","10/1/2018",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","10/2/2018",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Chanukah: 1 Candle","12/2/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","12/3/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","12/4/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","12/5/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","12/6/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","12/7/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 7 Candles","12/8/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8 Candles","12/9/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","12/10/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Erev Purim","3/20/2019",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","3/21/2019",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Erev Pesach","4/19/2019",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","4/20/2019",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","4/21/2019",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","4/22/2019",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","4/23/2019",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","4/24/2019",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","4/25/2019",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","4/26/2019",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","4/27/2019",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","6/8/2019",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","6/9/2019",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","6/10/2019",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Erev Tish'a B'Av","8/10/2019",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","8/11/2019",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Erev Rosh Hashana","9/29/2019",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5780","9/30/2019",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","10/1/2019",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","10/8/2019",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","10/9/2019",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","10/13/2019",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","10/14/2019",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","10/15/2019",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","10/16/2019",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","10/17/2019",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","10/18/2019",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","10/19/2019",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","10/20/2019",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","10/21/2019",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","10/22/2019",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Chanukah: 1 Candle","12/22/2019",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","12/23/2019",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","12/24/2019",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","12/25/2019",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","12/26/2019",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","12/27/2019",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 7 Candles","12/28/2019",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8 Candles","12/29/2019",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","12/30/2019",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
